City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,isafjordur,66.0755,-23.124,-6.95,76,41,2.46,IS,1707456668
122,swakopmund,-22.6833,14.5333,18.42,88,27,1.87,NA,1707456668
123,yuzhno-kurilsk,44.0306,145.8556,-4.24,57,52,2.16,RU,1707456668
124,al kharijah,25.4514,30.5464,14.17,39,9,2.59,EG,1707456668
125,thompson,55.7435,-97.8558,-15.91,85,100,4.12,CA,1707456668
126,college,64.8569,-147.8028,-20.51,81,20,0.0,US,1707456539
127,yanbu,24.0891,38.0637,20.02,73,40,1.03,SA,1707456668
128,bhimunipatnam,17.8833,83.4333,28.73,74,67,5.18,IN,1707456668
129,punta arenas,-53.15,-70.9167,12.06,71,75,5.14,CL,1707456669
130,alta,69.9689,23.2717,-13.41,75,75,8.23,NO,1707456669
131,el matama,16.7095,33.3565,21.72,22,2,4.4,SD,1707456669
132,minas de marcona,-15.2119,-75.1103,19.9,85,65,3.0,PE,1707456669
133,hilo,19.7297,-155.09,21.85,89,100,0.45,US,1707456669
134,taulaga,-11.0553,-171.0883,28.86,81,97,8.55,AS,1707456669
135,afaahiti,-17.75,-149.2833,26.93,82,98,7.05,PF,1707456669
136,carnarvon,-24.8667,113.6333,33.48,38,0,7.15,AU,1707456669
137,gamba,-2.65,10.0,25.45,88,100,0.49,GA,1707456670
138,klyuchi,52.2667,79.1667,2.73,96,100,10.35,RU,1707456670
139,arteche,12.2645,125.4048,28.65,64,26,3.5,PH,1707456670
140,tobelo,1.7284,128.0095,28.53,75,100,3.51,ID,1707456670
141,kavaratti,10.5669,72.642,27.75,74,70,1.76,IN,1707456670
142,utrik,11.2278,169.8474,26.19,80,79,9.79,MH,1707456670
143,new norfolk,-42.7826,147.0587,17.72,48,81,3.36,AU,1707456671
144,tuba zangariya,32.9663,35.5944,13.27,60,25,0.43,IL,1707456671
145,mount isa,-20.7333,139.5,33.87,46,40,4.63,AU,1707456671
146,taksimo,56.3444,114.8794,-10.99,84,97,0.56,RU,1707456671
147,dongfeng,42.6403,125.5118,-3.85,69,49,2.2,CN,1707456671
148,dudinka,69.4058,86.1778,-30.18,95,43,2.24,RU,1707456671
149,mujiayingzi,42.1167,118.7833,-0.84,32,34,3.68,CN,1707456671
150,kotido,2.9806,34.1331,26.71,42,16,4.27,UG,1707456672
151,badger,64.8,-147.5333,-20.86,83,20,0.0,US,1707456672
152,talnakh,69.4865,88.3972,-25.18,84,52,2.1,RU,1707456672
153,san antonio de pale,-1.4014,5.6325,28.05,76,75,4.18,GQ,1707456672
154,kani keli,-12.9536,45.1033,27.59,76,99,3.2,YT,1707456672
155,moultonborough,43.7548,-71.3967,-0.19,83,53,0.07,US,1707456672
156,inhambane,-23.865,35.3833,24.99,88,40,2.57,MZ,1707456672
157,portland,45.5234,-122.6762,6.72,88,75,1.54,US,1707456612
158,hammerfest,70.6634,23.6821,-8.75,67,0,3.6,NO,1707456672
159,sao tome,0.3365,6.7273,27.46,80,45,2.72,ST,1707456673
160,sisimiut,66.9395,-53.6735,-14.8,78,90,9.28,GL,1707456673
161,susanville,40.4163,-120.653,-0.09,82,0,3.09,US,1707456405
162,choele choel,-39.2667,-65.6833,21.65,75,89,6.43,AR,1707456673
163,katabu,-4.9333,122.5167,31.78,58,51,1.16,ID,1707456673
164,kenora,49.8167,-94.4337,0.54,100,100,4.12,CA,1707456673
165,perry,37.2506,-83.1999,13.4,54,100,2.61,US,1707456673
166,sona,45.4388,10.8255,9.77,87,75,1.03,IT,1707456673
167,nouadhibou,20.931,-17.0347,18.99,52,11,5.14,MR,1707456674
168,prieska,-29.6641,22.7474,24.58,22,30,1.34,ZA,1707456674
169,key west,24.5557,-81.7826,20.0,82,0,4.12,US,1707456577
170,kaa-khem,51.6833,94.7333,-18.66,91,100,1.08,RU,1707456674
171,guadalupe y calvo,26.1,-106.9667,2.93,74,99,1.91,MX,1707456674
172,fort beaufort,-32.7748,26.6338,17.65,82,85,0.63,ZA,1707456674
173,mejit,10.2753,170.8646,26.26,78,96,10.51,MH,1707456674
174,cadale,2.7603,46.3222,28.05,70,28,10.72,SO,1707456674
175,pudasjarvi,65.3833,26.9167,-30.01,100,100,0.86,FI,1707456674
176,fale old settlement,-9.3852,-171.2468,28.99,78,100,5.98,TK,1707456675
177,iskateley,67.6803,53.1512,-11.1,91,73,4.47,RU,1707456675
178,okha,53.5739,142.9478,-16.65,91,93,5.08,RU,1707456675
179,kindu,-2.95,25.95,23.61,92,64,0.56,CD,1707456675
180,tupiza,-21.45,-65.7167,13.5,75,58,0.21,BO,1707456675
181,polyarnyy,69.1989,33.4478,-20.42,99,100,2.63,RU,1707456676
182,brisas de zicatela,15.8369,-97.0419,24.85,82,41,1.26,MX,1707456676
183,keflavik,64.0049,-22.5624,-6.76,79,0,2.06,IS,1707456676
184,aykhal,66.0,111.5,-29.77,99,65,1.77,RU,1707456676
185,whitehorse,60.7161,-135.0538,-16.57,84,0,5.66,CA,1707456676
186,el granada,37.5027,-122.4694,9.41,87,0,2.57,US,1707456676
187,klaksvik,62.2266,-6.589,-2.49,58,100,8.92,FO,1707456676
188,champerico,14.3,-91.9167,24.64,71,13,2.72,GT,1707456676
189,hermanus,-34.4187,19.2345,18.66,73,57,4.13,ZA,1707456677
190,sao joao da barra,-21.6403,-41.0511,24.44,92,7,4.56,BR,1707456677
191,kodiak,57.79,-152.4072,1.73,93,100,9.26,US,1707456677
192,bikenibeu village,1.3673,173.1241,29.98,74,100,3.09,KI,1707456677
193,itaituba,-4.2761,-55.9836,23.4,99,100,0.65,BR,1707456677
194,suva,-18.1416,178.4415,29.71,74,40,3.09,FJ,1707456638
195,tura,25.5198,90.2201,23.76,24,1,0.54,IN,1707456678
196,koryazhma,61.3143,47.1691,-11.72,94,99,2.85,RU,1707456678
197,port isabel,26.0734,-97.2086,20.57,93,0,2.57,US,1707456678
198,matipo,-20.2839,-42.3411,19.35,97,90,0.7,BR,1707456679
199,parthenay,46.6667,-0.4167,11.08,94,98,7.92,FR,1707456679
200,coquimbo,-29.9533,-71.3436,18.85,94,100,2.06,CL,1707456679
201,shakawe,-18.3667,21.85,24.52,62,71,1.37,BW,1707456679
202,fort st. john,56.2499,-120.8529,-10.06,85,0,1.03,CA,1707456679
203,bayan,46.0833,127.4,-8.1,84,100,0.8,CN,1707456680
204,dali,25.7,100.1833,14.89,30,5,1.24,CN,1707456680
205,cardigan,52.0847,-4.6591,9.65,97,100,4.75,GB,1707456680
206,jamaame,0.0697,42.745,30.53,58,32,7.69,SO,1707456681
207,san kamphaeng,18.7449,99.1195,34.36,39,5,1.54,TH,1707456681
208,necochea,-38.5473,-58.7368,19.49,92,100,4.23,AR,1707456681
209,ridder,50.355,83.5133,-2.75,93,100,4.63,KZ,1707456682
210,tidjikja,18.5564,-11.4271,19.37,12,0,5.13,MR,1707456682
211,horta,38.5333,-28.6333,14.45,81,100,0.89,PT,1707456682
212,khovd,48.0056,91.6419,-11.02,65,68,1.33,MN,1707456682
213,vila franca do campo,37.7167,-25.4333,16.23,80,100,8.13,PT,1707456683
214,emerald,-23.5333,148.1667,33.52,36,3,4.86,AU,1707456683
